AS,98,ANC,SEA,-11,1448,-22
AA,2336,LAX,PBI,-8,2330,-9
US,840,SFO,CLT,-2,2296,5
AA,258,LAX,MIA,-5,2342,-9
AS,135,SEA,ANC,-1,1448,-21
DL,806,SFO,MSP,-5,1589,8
NK,612,LAS,MSP,-6,1299,-17
US,2013,LAX,CLT,14,2125,-10
AA,1112,SFO,DFW,-11,1464,-13
DL,1173,LAS,ATL,3,1747,-15
DL,2336,DEN,ATL,-6,1199,-30
AA,1674,LAS,MIA,-8,2174,-10
DL,1434,LAX,MSP,0,1535,-4
DL,2324,SLC,ATL,-6,1590,-22
DL,2440,SEA,MSP,-1,1399,8
AS,108,ANC,SEA,-4,1448,-14
DL,1560,ANC,SEA,-14,1448,-24
UA,1197,SFO,IAH,-6,1635,-7
AS,122,ANC,PDX,-4,1542,-18
DL,1670,PDX,MSP,-5,1426,-12
NK,520,LAS,MCI,25,1139,6
AA,371,SEA,MIA,-8,2724,1
NK,214,LAS,DFW,-1,1055,-1
AA,115,LAX,MIA,-2,2342,-12
DL,1450,LAS,MSP,-3,1299,-23
UA,1545,LAX,IAH,-3,1379,-11
AS,130,FAI,SEA,-8,1533,-3
NK,597,MSP,FLL,12,1487,25
US,413,LAS,CLT,-10,1916,-31
AA,2392,DEN,MIA,21,1709,2
NK,168,PHX,ORD,72,1440,43
AA,2211,PHX,MIA,-11,1972,-16
DL,95,SLC,ATL,-6,1590,10
NK,298,LAS,IAH,-4,1222,-4
HA,17,LAS,HNL,0,2762,15
US,617,ANC,PHX,-9,2552,-10
UA,1528,SJU,EWR,3,1608,-11
AS,134,ANC,SEA,-15,1448,-35
B6,304,SJU,JFK,-2,1598,11
NK,451,PBG,FLL,-16,1334,-33
NK,972,PHX,DFW,-1,868,1
AS,144,ANC,PDX,-10,1542,-11
NK,647,IAG,FLL,-5,1176,-11
B6,1990,SJU,EWR,-14,1608,4
US,699,PHX,CLT,-11,1773,-36
AS,114,ANC,SEA,-11,1448,-12
B6,668,PSE,MCO,-7,1179,-9
UA,1162,BQN,EWR,-1,1585,6
B6,1030,BQN,MCO,-3,1129,20
B6,262,SJU,BOS,-14,1674,-16
B6,2134,SJU,MCO,95,1189,85
